,date,lat,lng
0,20060821,49.210001093168,-124.053949760726
1,20110625,48.987427006012,-123.826904296875
2,20110628,49.152969656170,-123.969726562500
3,20120519,49.237558716061,-122.793170213699
4,20140719,49.206700000000,-122.992810000000
5,20100328,46.703737,-64.104108
6,20050910,46.328384875254,-62.687812992743
7,20110830,46.199156269264,-63.156859874725
8,20130622,46.415934140351,-63.079279899597
9,20160601,46.37113,-63.12072
10,20100405,46.703737,-64.104108
11,20140703,45.99621,-62.51826
12,20180526,46.22522,-63.21532
13,20050819,50.570539484736,-97.924439140460
14,20030827,46.044029885472,-64.806273502699
15,20020627,47.307365137956,-68.13970319585
16,20040829,46.040778839114,-64.812526603364
17,19980501,45.6139,-65.0215
18,20090516,45.848022110577,-66.49141683946
19,20150808,46.01472,-66.63014
20,20160803,45.95058,-66.6115
21,20160810,45.95058,-66.6115
22,20160818,45.95058,-66.6115
23,20160819,45.61527,-65.02473
24,20160824,45.95058,-66.6115
25,20160824,45.95058,-66.6115
26,20160901,45.95058,-66.6115
27,20161017,46.56532,-66.46192
28,20161001,45.95102,-66.60994
29,20020601,45.897785409617995,-65.155287355741
30,20020614,46.188888888889,-66.641666666667
31,20020620,46.188888888889,-66.641666666667
32,20020626,46.188888888889,-66.641666666667
33,20020627,46.188888888889,-66.641666666667
34,20020630,46.188888888889,-66.641666666667
35,20030607,45.897785409617995,-65.155287355741
36,20040628,45.897785409617995,-65.155287355741
37,20060601,46.369690663219004,-64.763273207102
38,20100709,45.691073,-65.760384
39,20100918,46.137456122195,-66.538052558899
40,20110419,45.897785409617995,-65.155287355741
41,20120705,45.672479980259,-66.11944580078101
42,20140627,45.672479980259,-66.11944580078101
43,20150707,45.672479980259,-66.11944580078101
44,20160617,45.95058,-66.6115
45,20160620,45.95058,-66.6115
46,20160628,45.95058,-66.6115
47,20160706,45.95058,-66.6115
48,20160712,45.95058,-66.6115
49,20160714,45.95058,-66.6115
50,20160715,45.95058,-66.6115
51,20160720,45.95058,-66.6115
52,20160722,45.95058,-66.6115
53,20160727,45.95058,-66.6115
54,20160821,45.93387,-67.75574
55,20170529,45.95102,-66.60994
56,20170605,45.95102,-66.60994
57,20170619,45.95102,-66.60994
58,20170711,45.95102,-66.60994
59,20170714,45.95058,-66.6115
60,20170711,45.672479980259,-66.11944580078101
61,20160626,45.672479980259,-66.11944580078101
62,20100622,45.6131,-66.2075
63,20110701,45.6131,-66.2075
64,20130624,45.672479980259,-66.11944580078101
65,20160531,45.95058,-66.6115
66,20160602,45.95058,-66.6115
67,20160629,45.95058,-66.6115
68,20170703,45.95102,-66.60994
69,20180706,45.672479980259,-66.11944580078101
70,20160622,45.95058,-66.6115
71,20170626,45.95102,-66.60994
72,20020531,46.064848793817994,-60.213787175370996
73,20020606,46.064848793817994,-60.213787175370996
74,20130717,44.662216683856,-63.527659416199
75,20130722,44.662216683856,-63.527659416199
76,20020612,46.064848793817994,-60.213787175370996
77,20020530,46.06066698685,-59.994433201384
78,20020606,46.06066698685,-59.994433201384
79,20020606,46.06066698685,-59.994433201384
80,20020607,46.06066698685,-59.994433201384
81,20020611,46.06066698685,-59.994433201384
82,20020613,46.06066698685,-59.994433201384
83,20020620,46.064848793817994,-60.213787175370996
84,20020603,46.06066698685,-59.994433201384
85,20020617,46.06066698685,-59.994433201384
86,20020619,46.06066698685,-59.994433201384
87,20020626,46.06066698685,-59.994433201384
88,20040515,45.211,-64.3765
89,20050621,44.60385448177399,-65.396056505875
90,20050713,44.60385448177399,-65.396056505875
91,20080601,44.991059743995,-64.134490740741
92,20080627,44.991059743995,-64.134490740741
93,20080626,44.991059743995,-64.134490740741
94,20080628,44.991059743995,-64.134490740741
95,20080630,44.991059743995,-64.134490740741
96,20080630,44.819594,-64.318054
97,20080709,45.060143279203,-64.06204149118
98,20080717,44.991059743995,-64.134490740741
99,20120805,45.639818,-63.247304
100,20130512,45.041382837086,-64.759887695313
101,20130618,44.662216683856,-63.527659416199
102,20130624,44.662216683856,-63.527659416199
103,20130819,44.662216683856,-63.527659416199
104,20140611,44.6544,-63.5247
105,20140629,44.6544,-63.5247
106,20140822,44.6544,-63.5247
107,20140824,44.6544,-63.5247
108,20140901,44.6544,-63.5247
109,20140905,44.6544,-63.5247
110,20140909,44.6544,-63.5247
111,20140925,45.75384,-61.14397
112,20160430,44.89051,-63.25088
113,20160519,44.73681,-63.19289
114,20160523,45.01263,-63.95897
115,20180429,44.79609,-63.12638
116,20020623,46.702203349569,-61.04851464449099
117,20020630,44.236168443748,-64.399789095098
118,20020403,43.978754180612,-65.441122608201
119,20020414,43.978754180612,-65.441122608201
120,20040516,46.057269848735,-60.260314622908
121,20050506,45.415110441693,-63.357981790128
122,20050710,44.60385448177399,-65.396056505875
123,20080628,44.991059743995,-64.134490740741
124,20130506,46.052859301288,-61.44948387146
125,20130616,44.662216683856,-63.527659416199
126,20130716,44.662216683856,-63.527659416199
127,20130718,44.662216683856,-63.527659416199
128,20140611,44.6544,-63.5247
129,20140701,44.879346202633,-63.482040405273
130,20150509,46.052859301288,-61.44948387146
131,20150620,44.67258,-63.31816
132,20150628,44.70729,-63.68016
133,20160628,43.77092,-65.32739
134,20180503,44.66755,-63.52727
135,20050713,44.60385448177399,-65.396056505875
136,20070420,44.355035868170006,-64.855736626519
137,20080606,44.991059743995,-64.134490740741
138,20130625,44.662216683856,-63.527659416199
139,20130704,44.662216683856,-63.527659416199
140,20120622,45.174046938309004,-64.56419372558601
141,20000922,43.190000000000,-80.380000000000
142,20001011,44.813333333333,-76.840833333333
