
date,utcdate,tempm,tempi,dewptm,dewpti,hum,wspdm,wspdi,wgustm,wgusti,wdird,wdire,vism,visi,pressurem,pressurei,windchillm,windchilli,heatindexm,heatindexi,precipm,precipi,conds,icon,fog,rain,snow,hail,thunder,tornado,metar
"{'pretty': '12:00 AM CDT on September 20, 2002', 'year': '2002', 'mon': '09', 'mday': '20', 'hour': '00', 'min': '00', 'tzname': 'America/Winnipeg'}","{'pretty': '5:00 AM GMT on September 20, 2002', 'year': '2002', 'mon': '09', 'mday': '20', 'hour': '05', 'min': '00', 'tzname': 'UTC'}",15.3,59.5,7.8,46.0,61,25.9,16.1,-9999.0,-9999.0,200,SSW,-9999.0,-9999.0,-9999,-9999,-999,-999,-9999,-9999,-9999.00,-9999.00,Unknown,unknown,0,0,0,0,0,0,METAR CXGH 200500Z AUTO 20014KT 15/08 RMK AO1 PK WND 20018/0455 T01530078
"{'pretty': '12:00 AM CDT on September 21, 2002', 'year': '2002', 'mon': '09', 'mday': '21', 'hour': '00', 'min': '00', 'tzname': 'America/Winnipeg'}","{'pretty': '5:00 AM GMT on September 21, 2002', 'year': '2002', 'mon': '09', 'mday': '21', 'hour': '05', 'min': '00', 'tzname': 'UTC'}",10.8,51.4,4.9,40.8,67,14.8,9.2,-9999.0,-9999.0,280,West,-9999.0,-9999.0,-9999,-9999,-999,-999,-9999,-9999,-9999.00,-9999.00,Unknown,unknown,0,0,0,0,0,0,METAR CXGH 210500Z AUTO 28008KT 11/05 RMK AO1 T01080049
"{'pretty': '12:00 AM CDT on September 22, 2002', 'year': '2002', 'mon': '09', 'mday': '22', 'hour': '00', 'min': '00', 'tzname': 'America/Winnipeg'}","{'pretty': '5:00 AM GMT on September 22, 2002', 'year': '2002', 'mon': '09', 'mday': '22', 'hour': '05', 'min': '00', 'tzname': 'UTC'}",5.8,42.4,4.3,39.7,90,7.4,4.6,-9999.0,-9999.0,280,West,-9999.0,-9999.0,-9999,-9999,4.2,39.6,-9999,-9999,-9999.00,-9999.00,Unknown,unknown,0,0,0,0,0,0,METAR CXGH 220500Z AUTO 28004KT 06/04 RMK AO1 T00580043
"{'pretty': '12:00 AM CDT on September 23, 2002', 'year': '2002', 'mon': '09', 'mday': '23', 'hour': '00', 'min': '00', 'tzname': 'America/Winnipeg'}","{'pretty': '5:00 AM GMT on September 23, 2002', 'year': '2002', 'mon': '09', 'mday': '23', 'hour': '05', 'min': '00', 'tzname': 'UTC'}",5.9,42.6,2.0,35.6,76,11.1,6.9,-9999.0,-9999.0,330,NNW,-9999.0,-9999.0,-9999,-9999,3.5,38.4,-9999,-9999,-9999.00,-9999.00,Unknown,unknown,0,0,0,0,0,0,METAR CXGH 230500Z AUTO 33006KT 06/02 RMK AO1 T00590020
"{'pretty': '12:00 AM CDT on September 25, 2002', 'year': '2002', 'mon': '09', 'mday': '25', 'hour': '00', 'min': '00', 'tzname': 'America/Winnipeg'}","{'pretty': '5:00 AM GMT on September 25, 2002', 'year': '2002', 'mon': '09', 'mday': '25', 'hour': '05', 'min': '00', 'tzname': 'UTC'}",4.2,39.6,3.9,39.0,98,11.1,6.9,-9999.0,-9999.0,310,NW,-9999.0,-9999.0,-9999,-9999,1.5,34.7,-9999,-9999,-9999.00,-9999.00,Unknown,unknown,0,0,0,0,0,0,METAR CXGH 250500Z AUTO 31006KT 04/04 RMK AO1 T00420039
"{'pretty': '12:00 AM CDT on September 26, 2002', 'year': '2002', 'mon': '09', 'mday': '26', 'hour': '00', 'min': '00', 'tzname': 'America/Winnipeg'}","{'pretty': '5:00 AM GMT on September 26, 2002', 'year': '2002', 'mon': '09', 'mday': '26', 'hour': '05', 'min': '00', 'tzname': 'UTC'}",3.5,38.3,-0.8,30.6,74,7.4,4.6,-9999.0,-9999.0,320,NW,-9999.0,-9999.0,-9999,-9999,1.6,34.8,-9999,-9999,-9999.00,-9999.00,Unknown,unknown,0,0,0,0,0,0,METAR CXGH 260500Z AUTO 32004KT 04/M01 RMK AO1 T00351008
"{'pretty': '12:00 AM CDT on September 28, 2002', 'year': '2002', 'mon': '09', 'mday': '28', 'hour': '00', 'min': '00', 'tzname': 'America/Winnipeg'}","{'pretty': '5:00 AM GMT on September 28, 2002', 'year': '2002', 'mon': '09', 'mday': '28', 'hour': '05', 'min': '00', 'tzname': 'UTC'}",2.6,36.7,-0.9,30.4,78,11.1,6.9,-9999.0,-9999.0,330,NNW,-9999.0,-9999.0,-9999,-9999,-0.4,31.2,-9999,-9999,-9999.00,-9999.00,Unknown,unknown,0,0,0,0,0,0,METAR CXGH 280500Z AUTO 33006KT 03/M01 RMK AO1 T00261009
"{'pretty': '12:00 AM CDT on October 01, 2002', 'year': '2002', 'mon': '10', 'mday': '01', 'hour': '00', 'min': '00', 'tzname': 'America/Winnipeg'}","{'pretty': '5:00 AM GMT on October 01, 2002', 'year': '2002', 'mon': '10', 'mday': '01', 'hour': '05', 'min': '00', 'tzname': 'UTC'}",9.9,49.8,9.9,49.8,100,9.3,5.8,-9999.0,-9999.0,270,West,-9999.0,-9999.0,-9999,-9999,-999,-999,-9999,-9999,-9999.00,-9999.00,Unknown,unknown,0,0,0,0,0,0,METAR CXGH 010500Z AUTO 27005KT 10/10 RMK AO1 T00990099
"{'pretty': '12:00 AM CDT on October 02, 2002', 'year': '2002', 'mon': '10', 'mday': '02', 'hour': '00', 'min': '00', 'tzname': 'America/Winnipeg'}","{'pretty': '5:00 AM GMT on October 02, 2002', 'year': '2002', 'mon': '10', 'mday': '02', 'hour': '05', 'min': '00', 'tzname': 'UTC'}",0.6,33.1,-2.2,28.0,82,9.3,5.8,-9999.0,-9999.0,310,NW,-9999.0,-9999.0,-9999,-9999,-2.4,27.7,-9999,-9999,-9999.00,-9999.00,Unknown,unknown,0,0,0,0,0,0,METAR CXGH 020500Z AUTO 31005KT 01/M02 RMK AO1 T00061022
"{'pretty': '12:00 AM CDT on October 04, 2002', 'year': '2002', 'mon': '10', 'mday': '04', 'hour': '00', 'min': '00', 'tzname': 'America/Winnipeg'}","{'pretty': '5:00 AM GMT on October 04, 2002', 'year': '2002', 'mon': '10', 'mday': '04', 'hour': '05', 'min': '00', 'tzname': 'UTC'}",7.9,46.2,5.7,42.3,86,7.4,4.6,-9999.0,-9999.0,330,NNW,-9999.0,-9999.0,-9999,-9999,6.7,44.1,-9999,-9999,-9999.00,-9999.00,Unknown,unknown,0,0,0,0,0,0,METAR CXGH 040500Z AUTO 33004KT 08/06 RMK AO1 T00790057
"{'pretty': '12:00 AM CDT on October 05, 2002', 'year': '2002', 'mon': '10', 'mday': '05', 'hour': '00', 'min': '00', 'tzname': 'America/Winnipeg'}","{'pretty': '5:00 AM GMT on October 05, 2002', 'year': '2002', 'mon': '10', 'mday': '05', 'hour': '05', 'min': '00', 'tzname': 'UTC'}",1.2,34.2,1.2,34.2,100,9.3,5.8,-9999.0,-9999.0,310,NW,-9999.0,-9999.0,-9999,-9999,-1.7,29.0,-9999,-9999,-9999.00,-9999.00,Unknown,unknown,0,0,0,0,0,0,METAR CXGH 050500Z AUTO 31005KT 01/01 RMK AO1 T00120012
"{'pretty': '12:00 AM CDT on October 06, 2002', 'year': '2002', 'mon': '10', 'mday': '06', 'hour': '00', 'min': '00', 'tzname': 'America/Winnipeg'}","{'pretty': '5:00 AM GMT on October 06, 2002', 'year': '2002', 'mon': '10', 'mday': '06', 'hour': '05', 'min': '00', 'tzname': 'UTC'}",-0.1,31.8,-3.6,25.5,78,5.6,3.5,-9999.0,-9999.0,240,WSW,-9999.0,-9999.0,-9999,-9999,-1.9,28.5,-9999,-9999,-9999.00,-9999.00,Unknown,unknown,0,0,0,0,0,0,METAR CXGH 060500Z AUTO 24003KT M00/M04 RMK AO1 T10011036
"{'pretty': '12:00 AM CDT on October 10, 2002', 'year': '2002', 'mon': '10', 'mday': '10', 'hour': '00', 'min': '00', 'tzname': 'America/Winnipeg'}","{'pretty': '5:00 AM GMT on October 10, 2002', 'year': '2002', 'mon': '10', 'mday': '10', 'hour': '05', 'min': '00', 'tzname': 'UTC'}",6.1,43.0,4.3,39.7,88,14.8,9.2,-9999.0,-9999.0,190,South,-9999.0,-9999.0,-9999,-9999,3.2,37.7,-9999,-9999,-9999.00,-9999.00,Unknown,unknown,0,0,0,0,0,0,METAR CXGH 100500Z AUTO 19008KT 06/04 RMK AO1 T00610043
"{'pretty': '12:00 AM CDT on October 12, 2002', 'year': '2002', 'mon': '10', 'mday': '12', 'hour': '00', 'min': '00', 'tzname': 'America/Winnipeg'}","{'pretty': '5:00 AM GMT on October 12, 2002', 'year': '2002', 'mon': '10', 'mday': '12', 'hour': '05', 'min': '00', 'tzname': 'UTC'}",-5.7,21.7,-7.5,18.5,87,25.9,16.1,-9999.0,-9999.0,180,South,-9999.0,-9999.0,-9999,-9999,-13.3,8.0,-9999,-9999,-9999.00,-9999.00,Unknown,unknown,0,0,0,0,0,0,METAR CXGH 110500Z AUTO 18014KT M06/M08 RMK AO1 PK WND 18017/0417 T10571075
"{'pretty': '12:00 AM CDT on October 13, 2002', 'year': '2002', 'mon': '10', 'mday': '13', 'hour': '00', 'min': '00', 'tzname': 'America/Winnipeg'}","{'pretty': '5:00 AM GMT on October 13, 2002', 'year': '2002', 'mon': '10', 'mday': '13', 'hour': '05', 'min': '00', 'tzname': 'UTC'}",-0.4,31.3,-2.2,28.0,88,16.7,10.4,29.6,18.4,280,West,-9999.0,-9999.0,-9999,-9999,-5.2,22.7,-9999,-9999,-9999.00,-9999.00,Unknown,unknown,0,0,0,0,0,0,METAR CXGH 130500Z AUTO 28009G16KT M00/M02 RMK AO1 PK WND 28020/0415 T10041022
"{'pretty': '1:00 AM CDT on April 13, 2015', 'year': '2015', 'mon': '04', 'mday': '13', 'hour': '01', 'min': '00', 'tzname': 'America/Winnipeg'}","{'pretty': '6:00 AM GMT on April 13, 2015', 'year': '2015', 'mon': '04', 'mday': '13', 'hour': '06', 'min': '00', 'tzname': 'UTC'}",2,36,-5,23,47,16.7,10.4,,,260,West,,,1006,29.72,-999,-999,-9999,-9999,,,,,0,0,0,0,0,0,AAXX 13064 71849 16/// /2609 10021 21049 39778 40064 53016 60001 333 10162 20008 70007 555 33135 4000/
